"LLEGADA","DISTRITO.LOCAL","MUNICIPIO","SECCION","CASILLA","PAN","PRI","PRD","PVEM","PT","PANAL","MORENA","HUMANISTA","ENCUENTRO.SOCIAL","PRI.PVEM.PANAL","PRI.PVEM","PRI.PANAL","PVEM.PANAL","COALICION","CANDIDATO.NO.REGISTRADO","VOTOS.NULOS","TOTAL.VOTOS.VALIDOS","VOTACION.TOTAL.EMITIDA"
108,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",742,"BASICA",169,119,6,17,1,10,6,6,13,0,0,0,0,146,0,13,347,360
143,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",730,"CONTIGUA 3",111,83,12,5,2,5,11,1,6,0,5,0,0,98,0,6,241,247
70,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",670,"CONTIGUA 2",105,81,6,8,1,9,17,7,8,0,0,0,0,98,0,3,242,245
291,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",661,"CONTIGUA 6",90,76,4,2,2,2,17,1,8,1,0,1,0,82,0,3,204,207
321,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",723,"BASICA",114,81,6,4,3,7,18,3,14,0,1,1,0,94,0,4,252,256
235,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",724,"CONTIGUA 6",73,93,4,0,2,7,12,3,8,0,3,0,1,104,0,5,206,211
191,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",729,"CONTIGUA 3",83,69,4,4,4,4,16,4,5,2,0,0,0,79,0,6,195,201
110,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",661,"CONTIGUA 10",91,64,2,5,6,7,17,6,14,0,0,0,0,76,0,9,212,221
263,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",638,"CONTIGUA 1",197,150,5,2,4,7,4,0,1,0,2,0,0,161,0,6,372,378
76,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",635,"BASICA",142,150,5,3,3,3,7,3,4,2,4,0,0,162,0,4,326,330
310,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",632,"CONTIGUA 4",182,123,4,1,8,3,2,2,3,0,1,0,0,128,0,7,329,336
279,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",724,"CONTIGUA 4",83,69,6,4,4,9,22,2,8,1,0,1,0,84,0,7,209,216
185,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",724,"CONTIGUA 1",97,94,4,4,0,4,15,1,7,2,0,0,0,104,1,2,228,231
47,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",637,"BASICA",169,164,1,0,7,7,7,3,1,2,0,0,0,173,0,10,361,371
126,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",731,"BASICA",79,111,4,20,1,2,4,3,1,0,5,0,0,138,0,3,230,233
